px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
9.07358	-5.48511	-2.70331	-2.5325	0.070079	9.05088	-5.45385	9.05	-5.45	1.99654	1.99655	0.204656
9.21717	-5.42874	-2.7203	-2.59904	-0.09103	9.04088	-5.29691	9.2	-5.4	2.72728	0.909094	4.70583
9.3445	-5.34414	-2.72592	-2.59787	-0.0828167	9.34223	-5.32623	9.35	-5.35	2.72727	0.90909	0.0466589
9.44075	-5.23221	-2.6968	-2.52208	0.0941058	9.39579	-5.21659	9.45	-5.25	1.81816	1.81815	4.97148
9.55918	-5.14159	-2.69833	-2.51289	0.0994537	9.55303	-5.13194	9.55	-5.15	1.81813	1.81813	0.0183406
9.66203	-5.03644	-2.68458	-2.46101	0.205651	9.75019	-5.14652	9.65	-5.05	1.82036	1.82036	2.01591
9.77194	-4.93943	-2.68337	-2.44526	0.21156	9.7586	-4.93134	9.75	-4.95	1.82036	1.82037	0.0324874
9.86904	-4.82719	-2.67437	-2.39157	0.305797	9.9198	-4.86941	9.85	-4.85	1.81578	1.81577	1.34778
9.9715	-4.73125	-2.66487	-2.37648	0.303771	9.95641	-4.74358	9.95	-4.75	1.81575	1.81575	0.0505992
10.0567	-4.60893	-2.65793	-2.31329	0.403801	10.0029	-4.54771	10.05	-4.6	1.82039	2.7306	1.37523
10.1509	-4.48561	-2.66944	-2.27937	0.41861	10.1428	-4.45119	10.15	-4.45	1.8204	2.7306	0.178638
10.2389	-4.36544	-2.67042	-2.24215	0.446829	10.1981	-4.26556	10.25	-4.3	1.81769	2.72652	0.203875
10.3357	-4.22476	-2.70402	-2.20584	0.459935	10.3644	-4.16342	10.35	-4.15	1.81768	2.7265	0.630943
10.4583	-4.13116	-2.71267	-2.25696	0.293914	10.5985	-4.12247	10.45	-4.05	1.81792	1.81792	3.62213
10.5484	-3.99495	-2.73205	-2.22682	0.310679	10.5415	-3.9454	10.55	-3.95	1.8179	1.8179	0.352671
10.6483	-3.88032	-2.7367	-2.22724	0.272426	10.7092	-3.85166	10.65	-3.85	1.81903	1.81904	0.234004
10.7441	-3.75793	-2.74468	-2.21384	0.270014	10.7616	-3.75002	10.75	-3.75	1.81902	1.81903	0.048177
10.7972	-3.61332	-2.73333	-2.12397	0.436822	10.795	-3.60617	10.8	-3.6	0.909773	2.72931	3.73636
